Fecha,Hora,Activo,TF,Dir,Prob,LOB,Edge,Alpha,Stability,CWEV,Samples,Veredicto,Open,Close
18/3/2026,12:53:58,BTC/USD,5M,BUY,59.9,0.277,4.98,0.021,77,3.8,27,PENDIENTE,,
18/3/2026,12:58:57,XRP/USD,5M,BUY,60.7,0.209,5.74,0.030,86,5.0,30,PENDIENTE,,
18/3/2026,13:00:24,BTC/USD,5M,BUY,59.9,0.277,4.98,0.021,77,3.8,27,GANADA,71432.96,71467.82
18/3/2026,13:03:59,BTC/USD,5M,SELL,66.1,-0.160,-11.18,0.039,63,7.0,28,PENDIENTE,,
18/3/2026,13:05:25,XRP/USD,5M,BUY,60.7,0.209,5.74,0.030,86,5.0,30,GANADA,1.4407,1.4431
18/3/2026,13:08:58,XRP/USD,5M,SELL,60.6,-0.276,-5.67,0.043,91,5.2,42,PENDIENTE,,
18/3/2026,13:10:25,BTC/USD,5M,SELL,66.1,-0.160,-11.18,0.039,63,7.0,28,GANADA,71355.13,71234.02
18/3/2026,13:13:58,XRP/USD,15M,BUY,61.5,0.164,6.53,0.021,65,4.2,25,PENDIENTE,,
18/3/2026,13:15:25,XRP/USD,5M,SELL,60.6,-0.276,-5.67,0.043,91,5.2,42,GANADA,1.4407,1.4402
18/3/2026,13:18:56,ADA/USD,5M,SELL,66.6,-0.138,-11.66,0.038,65,7.5,25,PENDIENTE,,
18/3/2026,13:18:56,XRP/USD,5M,SELL,63.9,-0.272,-8.98,0.064,82,7.4,43,PENDIENTE,,
18/3/2026,13:25:26,XRP/USD,5M,SELL,63.9,-0.272,-8.98,0.064,82,7.4,43,PERDIDA,1.4388,1.4398
18/3/2026,13:25:27,ADA/USD,5M,SELL,66.6,-0.138,-11.66,0.038,65,7.5,25,GANADA,0.2704,0.2702
18/3/2026,13:28:55,SOL/USD,5M,BUY,63.0,0.266,8.10,0.052,90,7.3,36,PENDIENTE,,
18/3/2026,13:30:10,XRP/USD,15M,BUY,61.5,0.164,6.53,0.021,65,4.2,25,PERDIDA,1.4402,1.4401
18/3/2026,13:33:56,BNB/USD,5M,BUY,66.4,0.073,11.46,0.045,70,8.0,28,PENDIENTE,,
18/3/2026,13:35:11,SOL/USD,5M,BUY,63.0,0.266,8.10,0.052,90,7.3,36,PERDIDA,88.9,88.85
18/3/2026,13:40:11,BNB/USD,5M,BUY,66.4,0.073,11.46,0.045,70,8.0,28,GANADA,648,649.32
18/3/2026,13:43:58,DOGE/USD,15M,BUY,67.0,0.261,12.10,0.047,78,9.4,25,PENDIENTE,,
18/3/2026,13:48:57,BNB/USD,5M,SELL,69.7,-0.735,-14.79,0.077,74,11.0,35,PENDIENTE,,
